Chapter,Topic,Question,Equation,Answer
Hydrocarbons,Alkane Concepts,Why do boiling points increase with chain length?,molecular size ↑ → van der Waals forces ↑,Larger alkane molecules possess stronger intermolecular dispersion forces.
Alcohols Phenols Ethers,Alcohol Formation,Predict product of hydration of propyne.,CH3–C≡CH + H2O → CH3–CO–CH3,"Alkyne hydration forms enol which tautomerizes into ketone, so alcohol is not stable final product."
Haloalkanes and Haloarenes,Haloarene Formation,Predict product in nitration followed by halogenation.,C6H5NO2 + Cl2 → product,"Nitro group is strongly deactivating and meta-directing, so halogen attaches at meta position."
Polymers,Polymer Concepts,What are conducting polymers?,polyacetylene,Conducting polymers possess conjugated π-electron systems.
Polymers,Polymer Formation,Why are biodegradable polymers environmentally significant?,natural decomposition,They reduce long-term environmental plastic pollution.
Physical Chemistry,Stoichiometry,Why are balanced equations necessary for calculations?,mole ratios from equation,Balanced equations provide correct stoichiometric relationships.
Thermodynamics,Second Law,What happens to entropy in irreversible process?,entropy increases,Irreversible processes increase entropy of universe.
Aldehydes and Ketones,Aldehyde Tests,A compound gives negative Tollens test but positive iodoform test. Identify compound type.,CH3COCH3 + I2 + NaOH → CHI3,This indicates methyl ketone because it gives iodoform test but does not reduce Tollens reagent.
Structure of Atom,Bohr Model,Main achievement of Bohr model?,explained hydrogen spectrum,It successfully explained line spectra and atomic stability.
Physical Chemistry,Atomic Mass,Why do isotopes have different physical properties?,different masses,Difference in masses affects density and diffusion rates.
Thermodynamics,Heat,Sign of heat in exothermic process?,q negative,System loses heat.
Physical Chemistry,Formula Calculation,Why is vapor density useful in formula determination?,M = 2×VD,Vapor density helps calculate molar mass of gaseous compounds.
Haloalkanes and Haloarenes,Haloarene Reactions,Explain why meta nitro group is less effective.,m-NO2 substituted haloarene,"Meta nitro group cannot stabilize intermediate through resonance effectively, so activation is weaker."
Equilibrium,Hydrolysis,Explain hydrolysis in buffer systems.,salt + acid/base ⇌ equilibrium,Hydrolysis contributes to buffer action by establishing equilibrium between ions and weak electrolytes.
States of Matter,Real Gases,What is critical temperature?,maximum liquefaction temperature,Above this temperature gas cannot be liquefied.
Hydrocarbons,Alkane Formation,Explain Clemmensen reduction mechanism conceptually.,RCHO → RCH3,Zinc amalgam in acidic medium reduces carbonyl group stepwise to methylene group.
Physical Chemistry,Atomic Mass,Why do isotopes have same chemical properties?,same electronic configuration,Chemical properties depend mainly on electronic arrangement.
Hydrocarbons,Alkyne Concepts,Explain stability of acetylide ions.,RC≡C−,The negative charge on sp-hybridized carbon is highly stabilized due to high effective electronegativity.
Thermodynamics,Second Law,What is entropy?,S = k ln W,More randomness = higher entropy
Carboxylic Acids,Carboxylic Acid Properties,Explain resonance vs inductive effect.,R–COOH ⇌ R–COO−,"Resonance stabilizes charge over atoms, while inductive effect transmits through sigma bonds affecting acidity."
Aldehydes and Ketones,Ketone Tests,Explain why ketones form less stable bisulfite compounds.,R–CO–R' + NaHSO3 → weak addition,"Steric hindrance and electron donation reduce electrophilicity, making addition less favorable."
Biomolecules,Vitamins,Explain electron transport role of vitamins.,NADH/FADH2 → ATP,Electrons from NADH and FADH₂ pass through electron transport chain generating ATP.
Carboxylic Acids,Carboxylic Acid Reactions,Predict product: CH3COOH + Na metal.,2CH3COOH + 2Na → 2CH3COONa + H2,Metal displaces acidic hydrogen forming salt and hydrogen gas.
Structure of Atom,Quantum Theory,What is spin quantum number?,mₛ,It describes electron spin direction.
Chemistry in Everyday Life,Food Chemistry,Why denaturation improves digestibility?,protein → denatured,Denaturation unfolds protein making it easier for enzymes to act.
Haloalkanes and Haloarenes,Haloarene Reactions,Explain resonance effect in haloarenes.,Ar–X resonance,"The lone pair on halogen overlaps with benzene π-system causing resonance. This gives the C–X bond partial double bond character, making it shorter, stronger, and less reactive toward nucleophilic substitution."
Thermodynamics,Processes,Internal energy change in cyclic process?,ΔU = 0,Initial and final states are same.
Equilibrium,Acid–Base Theory,Define base dissociation constant (Kb).,Kb = [BH+][OH−]/[B],The base dissociation constant (Kb) measures the strength of a base. It indicates the degree to which a base accepts a proton from water to form OH⁻ ions. Higher Kb means stronger base.
Alcohols Phenols Ethers,Phenol Reactions,Does phenol react with Na₂CO₃?,C₆H₅OH + Na₂CO₃ → No reaction,Phenol cannot displace carbonate ion
Biomolecules,Carbohydrates,What is sucrose hydrolysis?,C12H22O11 + H2O → C6H12O6 + C6H12O6,Sucrose hydrolyzes into glucose and fructose in presence of acid or enzyme invertase.
Hydrocarbons,Alkene Formation,Explain sodium-liquid ammonia reduction mechanism.,alkyne + Na/NH3 → trans-alkene,Reaction proceeds through radical intermediates causing anti addition of hydrogen atoms.
Hydrocarbons,Alkane Formation,Explain hydride transfer in LiAlH4 reduction.,R–X + H− → R–H,Hydride ion attacks carbon atom replacing halogen and forming alkane.
Alcohols Phenols Ethers,Alcohol Properties,Why are alcohols miscible in organic solvents?,ROH + organic solvent ⇌ interaction,Alcohols can interact with organic solvents through dispersion forces due to their alkyl group.
Physical Chemistry,Composition,Calculate percentage of oxygen in CaCO3.,48/100 ×100,Percentage of oxygen in calcium carbonate is 48%.
Hydrocarbons,Alkane Formation,Formation from carboxylic acid salt (decarboxylation).,RCOONa + NaOH → R–H + Na2CO3,Sodium salt of carboxylic acid gives alkane with one less carbon atom on heating with soda lime.
Polymers,Polymer Structure,Why does higher crystallinity increase chemical resistance?,closely packed chains,Dense packing reduces penetration of chemicals.
Hydrocarbons,Alkane Formation,Explain why nitrogen evolution drives Wolff–Kishner reduction.,hydrazone → N2 + alkane,Formation of highly stable nitrogen gas shifts equilibrium strongly toward product side.
Carboxylic Acids,Carboxylic Acid Formation,Explain hydrolysis of nitriles mechanism.,R–CN + 2H2O → R–COOH + NH3,Nitrile undergoes nucleophilic addition of water forming amide intermediate which further hydrolyzes to acid.
Thermodynamics,Thermodynamic Properties,Condition for equilibrium?,ΔG = 0,Gibbs energy becomes zero at equilibrium.
Structure of Atom,Atomic Models,Why are Bohr orbits stable?,no energy emission,Electrons do not radiate energy in stationary orbits.
Haloalkanes and Haloarenes,Haloarene Concepts,Predict effect of aromaticity on reactions.,aromatic stabilization,Aromatic compounds prefer substitution because addition destroys resonance stabilization.
Chemistry in Everyday Life,Drugs,Which drug neutralizes stomach acid?,HCl + base → salt + H2O,Antacids neutralize excess hydrochloric acid.
Aldehydes and Ketones,Aldehyde Reactions,Explain why cyanohydrin formation is reversible.,RCHO + HCN ⇌ RCH(OH)CN,The reaction equilibrium depends on concentration of HCN and stability of product. Reversibility arises due to equilibrium between reactants and products.
Hydrocarbons,Alkene Reactions,Why is KMnO4 called Baeyer’s reagent?,alkene + KMnO4 → glycol,It is commonly used as a test for unsaturation because it oxidizes double bonds rapidly.
Amines,Amine Reactions,Why is acetylation done?,C₆H₅NH₂ → C₆H₅NHCOCH₃,Protects –NH₂ group
Hydrocarbons,Alkyne Reactions,State Markovnikov’s rule for alkynes.,unsymmetrical alkyne + HX → major product,Hydrogen attaches to the carbon already containing more hydrogen atoms during addition.
Polymers,Polymer Formation,Why are addition polymers generally linear?,sequential monomer addition,Monomers join head-to-tail forming long chains.
Polymers,Polymer Classification,What are thermoplastics?,Polyethene → melts on heating,Linear or slightly branched chains
Haloalkanes and Haloarenes,Haloalkane Concepts,Predict why vinyl and aryl halides resist SN1/SN2.,vinyl/aryl–X,The C–X bond has partial double bond character and sp² carbon prevents backside attack.
Alcohols Phenols Ethers,Alcohol Tests,Why does sodium test confirm alcohol?,2ROH + 2Na → 2RONa + H2,"The acidic hydrogen of alcohol reacts with sodium metal releasing hydrogen gas, confirming presence of –OH group."
Aldehydes and Ketones,Ketone Tests,Explain why ketones form less stable hydrates.,R–CO–R' + H2O ⇌ R–C(OH)2–R',"Alkyl groups donate electron density and create steric hindrance, reducing stability of hydrate compared to aldehydes."
Hydrocarbons,Alkyne Formation,Explain nucleophilic behavior of acetylide ions.,RC≡C− + R–X → RC≡CR,Acetylide ions act as strong nucleophiles and form new carbon-carbon bonds through SN2 reactions.
Haloalkanes and Haloarenes,Haloarene Concepts,Why fluorobenzene is reactive in SNAr?,Ar–F > Ar–Cl,Strong −I effect of fluorine stabilizes intermediate in nucleophilic substitution.
Equilibrium,Buffer Solutions,Compare pH of two buffers with different pKa values.,pH ≈ pKa,Buffer with lower pKa has lower pH. Thus pKa determines acidic/basic nature of buffer.
Haloalkanes and Haloarenes,Haloalkane Concepts,What are alkyl halides?,R–X,Another name for haloalkanes is alkyl halides because halogen is attached to alkyl group.
Biomolecules,Carbohydrates,Explain mutarotation in glucose.,α-glucose ⇌ open chain ⇌ β-glucose,"Mutarotation occurs due to interconversion between α and β forms via open chain form, leading to change in optical rotation."
Carboxylic Acids,Carboxylic Acid Properties,Compare acidity: o-hydroxybenzoic acid vs p-hydroxybenzoic acid.,Ar–COOH ⇌ Ar–COO−,o-hydroxybenzoic acid is more acidic due to intramolecular hydrogen bonding.
Thermodynamics,Thermochemistry,What is lattice enthalpy?,ionic crystal formation energy,It is enthalpy change during formation of ionic solid.
Alcohols Phenols Ethers,Ether Properties,Assertion: Ethers have lower boiling points than alcohols. Reason: Ethers cannot form intermolecular hydrogen bonding.,R–O–R ⇌ weak interaction ; R–OH ⇌ hydrogen bonding,"Both statements are correct and the reason correctly explains the assertion. Alcohols have strong hydrogen bonding, whereas ethers only have weaker dipole interactions."
Chemistry in Everyday Life,Soaps and Detergents,Compare cleaning ability: short chain vs long chain soaps.,chain length → cleaning,"Moderate chain length gives best cleaning; too short reduces hydrophobic interaction, too long reduces solubility."
Carboxylic Acids,Carboxylic Acid Properties,Explain why carboxylic acids are weak acids.,R–COOH ⇌ R–COO− + H+,They partially ionize in water; equilibrium lies toward undissociated form but resonance stabilizes conjugate base.
Alcohols Phenols Ethers,Alcohol Properties,Why do alcohols show association in liquid state?,ROH + ROH ⇌ ROH···HOR,"Alcohol molecules associate via hydrogen bonding forming clusters, affecting physical properties like boiling point."
Thermodynamics,Basic Concepts,What is endothermic process?,heat absorbing process,Endothermic reactions absorb heat from surroundings.
States of Matter,Real Gases,When do real gases behave nearly ideally?,high temperature and low pressure,Intermolecular forces become negligible under these conditions.
Hydrocarbons,Alkyne Formation,Explain energy profile of double dehydrohalogenation.,dihalide → vinyl halide → alkyne,"The reaction proceeds in two elimination steps. First elimination forms alkene/vinyl halide easily, while second elimination has higher activation energy because vinyl halides are less reactive."
Aldehydes and Ketones,Ketone Tests,A compound gives positive derivative tests but negative oxidation tests. Identify functional group.,R–CO–R' + reagent → derivative,"Ketones form derivatives but resist oxidation, distinguishing them from aldehydes."
Structure of Atom,Quantum Mechanics,What is principal quantum number?,n,It determines main energy level and size.
Thermodynamics,Work,Mechanical work equation?,W = Fd,Work equals force multiplied by displacement.
Thermodynamics,Heat,What is thermal equilibrium?,same temperature state,No heat flows between bodies at equilibrium.
Equilibrium,Buffer Solutions,Why buffers resist pH change?,equilibrium shift → neutralization,"Buffers contain both acid and base components that neutralize added H⁺ or OH⁻, minimizing change in pH."
Amines,Amine Reactions,Explain solvent effects in amine reactions.,R–NH2 + electrophile → product,"Polar solvents stabilize intermediates and transition states, influencing mechanism and rate."
Biomolecules,Vitamins,Explain antioxidant role of vitamin C.,ROS + ascorbic acid → neutral products,Vitamin C donates electrons neutralizing reactive oxygen species protecting cells.
Equilibrium,Acid–Base Theory,Explain relation between Ka and pKa.,pKa = −logKa,pKa provides convenient logarithmic scale for acid strength. Smaller pKa means stronger acid.
Hydrocarbons,Alkyne Concepts,Why are alkynes less reactive than alkenes toward electrophilic addition?,sp carbon holds electrons tightly,sp-hybridized carbon atoms have greater s-character and hold electrons closer to nucleus.
Haloalkanes and Haloarenes,Haloalkane Formation,How is chlorodecane (C₁₀H₂₁Cl) formed?,10C + 21H + Cl → C10H21Cl,Ten carbon atoms form a chain with one hydrogen replaced by chlorine
Haloalkanes and Haloarenes,Haloarene Formation,How haloarene formed by Gattermann reaction?,C₆H₅N₂⁺ → C₆H₅Cl / C₆H₅Br,Diazonium replaced by halogen
Thermodynamics,Gibbs Energy,Why is Gibbs energy a state function?,depends only on state,It depends only on initial and final conditions.
Structure of Atom,Quantum Theory,What is photoelectric effect?,electron emission by light,Electrons are emitted when light falls on metal surface.
Haloalkanes and Haloarenes,Haloalkane Formation,Formation from alkene using halogen (Cl2/Br2).,RCH=CH2 + Cl2 → RCHCl–CH2Cl,Halogens add across double bond forming vicinal dihalides.
Alcohols Phenols Ethers,Phenol Formation,How is phenol finally isolated in lab preparation?,C6H5ONa + HCl → C6H5OH + NaCl,Phenol is isolated by acidification of sodium phenoxide followed by purification.
Structure of Atom,Quantum Numbers,Why can only two electrons occupy one orbital?,Pauli exclusion principle,Electrons must have opposite spins.
Redox Reactions,Equivalent Concept,Calculate equivalent mass of Ca(OH)2.,74/2,Equivalent mass of calcium hydroxide is 37.
Haloalkanes and Haloarenes,Haloalkane Concepts,Predict anti-periplanar requirement in E2.,anti β-H and X → alkene,E2 elimination occurs efficiently only when β-hydrogen and leaving group are anti-periplanar.
Equilibrium,Chemical Equilibrium,Write Kc expression using ICE table for A ⇌ B.,Kc = (Cα)/(C(1−α)),"Using equilibrium concentrations, Kc is expressed in terms of degree of conversion α."
Equilibrium,Hydrolysis,Explain relation between Kh and h.,Kh = C h²,"Hydrolysis constant is related to degree of hydrolysis and initial concentration, allowing calculation of h."
Redox Reactions,Basic Concepts,Why is redox chemistry central to electrochemistry?,electrical energy from electron transfer,Electrochemical cells convert chemical energy into electrical energy using redox reactions.
Aldehydes and Ketones,Aldehyde Formation,Explain why geminal dihalides give aldehydes on hydrolysis.,RCHCl2 + H2O → RCHO + 2HCl,"Geminal dihalides undergo hydrolysis where both halogen atoms are replaced by hydroxyl groups forming unstable gem-diol intermediate, which loses water to form aldehyde."
Physical Chemistry,Atomic Mass,Calculate formula mass of CaCO3.,40 + 12 + 3×16,Formula mass of calcium carbonate is 100 u.
Alcohols Phenols Ethers,Ether Formation,Predict product when tertiary alcohol is treated with conc. H2SO4 at high temperature.,(CH3)3COH → (CH3)2C=CH2 + H2O,Tertiary alcohol undergoes elimination forming alkene instead of ether.
Thermodynamics,Thermochemistry,What is Hess’s law?,total enthalpy independent of path,Enthalpy change depends only on initial and final states.
States of Matter,Real Gases,Why do real gases deviate from ideal behavior?,intermolecular forces and molecular volume,Real gases possess attractions and finite molecular size.
Alcohols Phenols Ethers,Alcohol Formation,Discuss competition between substitution and elimination in alcohol formation.,CH3CH2Br + OH− → CH3CH2OH + Br−,Reaction conditions determine whether substitution (alcohol) or elimination (alkene) is favored.
Aldehydes and Ketones,Aldehyde Formation,How is formaldehyde prepared from methanol?,CH3OH + [O] → HCHO + H2O,"Methanol undergoes controlled oxidation to produce formaldehyde. This reaction is typically carried out using a catalyst like silver or copper at elevated temperature, where methanol loses hydrogen and forms the simplest aldehyde, formaldehyde."
Hydrocarbons,Alkene Reactions,Why are alkenes more reactive than alkanes toward electrophiles?,π-bond attack,"The π-bond electrons are exposed and weakly held, making electrophilic attack easier."
States of Matter,Gas Laws,What is critical pressure?,minimum pressure for liquefaction,Critical pressure is pressure needed at critical temperature.
Thermodynamics,Third Law,What is third law of thermodynamics?,S = 0 at 0K,Absolute entropy defined
Physical Chemistry,Gas Stoichiometry,Calculate oxygen needed for complete combustion of 11.2 L ethene.,C2H4 + 3O2 → 2CO2 + 2H2O,11.2 L ethene require 33.6 L oxygen.
States of Matter,Gas Properties,Why does mean free path decrease with pressure?,more frequent collisions,Higher pressure brings molecules closer.
Biomolecules,Carbohydrates,Explain detailed oxidation of glucose to saccharic acid.,C6H12O6 + HNO3 → HOOC–(CHOH)4–COOH,Strong oxidizing agents oxidize both aldehyde and primary alcohol groups forming dicarboxylic acid.
Physical Chemistry,Formula Calculation,What is simplest ratio method in empirical formula calculation?,mole ratio conversion,Masses are converted into moles and simplified into whole-number ratio.
Equilibrium,Acid–Base Theory,Explain working of basic buffer.,B + H2O ⇌ BH+ + OH−,"A basic buffer consists of a weak base and its salt. When acid is added, base neutralizes H⁺. When base is added, BH⁺ reacts with OH⁻. This maintains nearly constant pH."
Chemistry in Everyday Life,Food Chemistry,Explain ATP formation in metabolism.,ADP + Pi → ATP,Energy released from oxidation reactions is stored in ATP molecules for cellular use.
Hydrocarbons,Alkane Reactions,Why does chlorination of methane occur in presence of UV light?,Cl2 → 2Cl•,UV light provides energy for homolytic cleavage of chlorine molecules generating chlorine free radicals.
Alcohols Phenols Ethers,Phenol Formation,Explain formation of phenol from hydroperoxide intermediate in cumene process.,C6H5C(CH3)2OOH → C6H5OH + (CH3)2CO,Cumene hydroperoxide rearranges in acidic medium to form phenol and acetone.
Alcohols Phenols Ethers,Phenol Properties,Why is phenol weakly acidic?,C6H5OH ⇌ C6H5O⁻ + H⁺,"Phenol only partially ionizes in water because although its conjugate base is stabilized by resonance, the ionization is not complete due to relatively high bond strength of O–H."
Aldehydes and Ketones,Ketone Reactions,Explain energy profile of nucleophilic addition to ketones.,R–CO–R' + Nu⁻ → product,The reaction proceeds via high-energy transition state followed by formation of stable tetrahedral intermediate and final product.
Physical Chemistry,Formula Calculation,Calculate percentage composition of nitrogen in NH4NO3.,28/80 ×100,Percentage of nitrogen is 35%.
Structure of Atom,Subatomic Particles,Why are electrons responsible for bonding?,outer shell interactions,Valence electrons participate in bonding.
Equilibrium,Buffer Solutions,Explain why buffer works best near pKa.,pH ≈ pKa ± 1,"Buffer is effective when ratio of salt to acid lies between 0.1 and 10. Outside this range, one component dominates and buffering action weakens."
Polymers,Polymer Structure,Explain chain folding in crystalline polymers.,folded lamellar structures,Polymer chains fold repeatedly within crystal regions.
Equilibrium,Hydrolysis,What is hydrolysis of salt?,salt + H2O ⇌ acid + base,Hydrolysis of salt is the reaction of salt ions with water to produce acidic or basic solutions depending on nature of parent acid and base.
Alcohols Phenols Ethers,Phenol Formation,Why is nitrogen gas evolution important in diazonium reaction?,C6H5N2+Cl− + H2O → C6H5OH + N2 + HCl,"Release of stable N2 gas drives the reaction forward, making it irreversible and favorable."
Hydrocarbons,Alkene Reactions,Why does Markovnikov addition occur?,more stable carbocation formed,"The reaction proceeds through the more stable carbocation intermediate, which determines the major product."
Thermodynamics,Processes,What is spontaneous process?,naturally occurring process,Process occurs without external assistance.
Alcohols Phenols Ethers,Alcohol Reactions,Why do tertiary alcohols not undergo oxidation easily?,(CH3)3COH + [O] → No reaction,Tertiary alcohols do not undergo oxidation easily because they lack hydrogen atom on the carbon bearing the hydroxyl group.
Polymers,Polymer Concepts,Why is bakelite hard and brittle?,high cross-link density,Extensive cross-linking restricts molecular flexibility.
Hydrocarbons,Alkyne Concepts,Why are alkynes soluble in organic solvents?,nonpolar solvent + alkyne,Alkynes dissolve in nonpolar organic solvents because of similar intermolecular forces.
States of Matter,Liquid State,What is critical temperature?,maximum liquefaction temperature,Above this temperature liquid cannot exist.
Polymers,Polymer Formation,What is step growth polymerization?,stepwise condensation,Polymer forms gradually through reactions between functional groups.
Physical Chemistry,Measurements,What is accuracy?,closeness to true value,Accuracy indicates how close measured value is to actual value.
Alcohols Phenols Ethers,Alcohol Reactions,Explain why rearrangement is common in dehydration but not in hydroboration.,CH3–CH=CH2 → CH3–CH2–CH2OH,"Dehydration involves carbocation intermediate allowing rearrangement, while hydroboration proceeds via concerted mechanism preventing rearrangement."
Equilibrium,Hydrolysis,Explain limitations of hydrolysis formulas.,approximation → valid when h small,"Derivations assume small degree of hydrolysis and neglect higher-order terms, so results are approximate for dilute solutions."
Chemistry in Everyday Life,Cleansing Agents,Arrange solubility: short chain vs long chain surfactants.,chain length ↑ → solubility ↓,Longer chains increase hydrophobicity reducing solubility.
Polymers,Polymer Structure,What are linear polymers?,HDPE,Chains arranged linearly
Redox Reactions,Basic Concepts,Why are redox reactions electron transfer reactions?,electron movement between species,Oxidation and reduction occur through electron exchange.
Physical Chemistry,Stoichiometry,Calculate theoretical yield of water from 4 moles H2.,2H2 + O2 → 2H2O,4 moles hydrogen theoretically produce 4 moles water.
Alcohols Phenols Ethers,Alcohol Formation,Why does acid-catalyzed hydration sometimes give unexpected products?,CH3–CH=CH2 + H2O → CH3–CHOH–CH3,Unexpected products arise due to carbocation rearrangements before alcohol formation.
Alcohols Phenols Ethers,Alcohol Tests,A compound gives turbidity after heating with Lucas reagent. Identify its type.,ROH + HCl → RCl + H2O,The compound is primary alcohol since it reacts only on heating due to slow SN2 mechanism.
Chemistry in Everyday Life,Drugs,What is drug action?,drug + receptor → effect,Drugs bind to receptors altering biological response.
Physical Chemistry,Gas Stoichiometry,Calculate moles in 5.6 L gas at STP.,n = V/22.4,5.6 L gas corresponds to 0.25 mole.
Aldehydes and Ketones,Ketone Reactions,Predict product when above aldol product is heated.,2CH3COCH3 → CH3COCH=C(CH3)2 + H2O,"On heating, β-hydroxy ketone loses water forming α,β-unsaturated ketone."
Biomolecules,Proteins,Explain role of hydrogen bonding in protein structure.,–CO–NH– ⇌ H-bond,Hydrogen bonding stabilizes secondary structures like α-helix and β-sheet.
Physical Chemistry,Gas Stoichiometry,Calculate total gaseous product volume from 10 L acetylene combustion.,2C2H2 + 5O2 → 4CO2 + 2H2O,10 L acetylene produce 20 L carbon dioxide under same conditions.
Haloalkanes and Haloarenes,Haloarene Concepts,Which groups are o/p directing?,"–OH, –CH₃ → o/p directing",Direct substitution to ortho/para positions
Redox Reactions,Titration,Why is oxalic acid a primary standard?,stable and pure,It is available in pure stable form.
Thermodynamics,Third Law,What is Nernst heat theorem?,entropy change tends to zero,Entropy change approaches zero near absolute zero.
Alcohols Phenols Ethers,Ether Properties,Why does solubility of ethers decrease with increase in molecular weight?,R–O–R + H2O ⇌ interaction,"As the alkyl chain length increases, the non-polar hydrocarbon portion becomes dominant over the polar oxygen part. This reduces the ability of ether to interact with water, decreasing solubility."
Aldehydes and Ketones,Aldehyde Tests,Explain why ketones react slowly or not in Schiff test.,RCOCH3 → slow reaction,"Ketones have lower electrophilicity and steric hindrance, making nucleophilic attack slower. Thus Schiff test is selective for aldehydes."
Structure of Atom,Electronic Configuration,Why do electrons occupy degenerate orbitals singly first?,minimum electron repulsion,Hund’s rule minimizes repulsion.
Hydrocarbons,Alkene Formation,Explain Saytzeff rule.,R–CH2–CH2X → major alkene,More substituted alkene is usually the major product because it is more stable.
Equilibrium,Acid–Base Theory,Compare Bronsted and Lewis theory.,BF3 + NH3 → adduct,"Bronsted theory involves proton transfer, while Lewis theory involves electron pair transfer, making it more general."
Alcohols Phenols Ethers,Phenol Properties,Why does phenol show acidic behavior with metals?,2C6H5OH + 2Na → 2C6H5ONa + H2,"Phenol reacts with active metals like sodium, releasing hydrogen gas and forming phenoxide, confirming its acidic nature."
Physical Chemistry,Mole Concept,Calculate total atoms in 44 g CO2.,44 g = 1 mole CO2,1 mole CO2 contains 3 × 6.022 × 10^23 atoms.
Aldehydes and Ketones,Aldehyde Formation,Predict product when geminal dihalide undergoes hydrolysis.,RCHCl2 + H2O → RCHO + 2HCl,"Geminal dihalides form unstable gem-diol intermediate, which loses water to give aldehyde."
Alcohols Phenols Ethers,Alcohol Reactions,How does C₂H₅OH react with HCl?,C₂H₅OH + HCl → C₂H₅Cl + H₂O,–OH replaced by Cl
Alcohols Phenols Ethers,Phenol Reactions,What happens when phenol reacts with alkyl halide?,C6H5ONa + CH3I → C6H5OCH3 + NaI,Phenol forms ether via Williamson synthesis after conversion to sodium phenoxide.
Physical Chemistry,Mole Concept,Calculate the number of electrons in 1 mole of Na atoms.,Na = 11 electrons,1 mole Na contains 11 × 6.022 × 10^23 electrons.
Redox Reactions,Redox Reactions,Why does oxidation number decrease during reduction?,electron gain,Gain of electrons decreases positive character.
States of Matter,Gas Properties,Explain critical temperature.,maximum liquefaction temperature,Above critical temperature gas cannot be liquefied.
Redox Reactions,Equivalent Concept,Why are equivalent masses important in electrochemistry?,electron transfer calculations,Electrode processes depend on equivalent electron exchange.
Polymers,Polymerization Mechanism,Why is living polymerization industrially important?,controlled architecture,It allows synthesis of polymers with specific molecular masses.
Alcohols Phenols Ethers,Alcohol Properties,Assertion: Branching decreases solubility in water. Reason: Hydrophobic effect increases.,ROH + H2O ⇌ interaction,"Assertion is false (branching increases solubility), reason is partially correct but does not explain the assertion properly."
Alcohols Phenols Ethers,Phenol Properties,Explain why phenol derivatives show strong color changes in reactions.,substituted phenol ⇌ conjugation,"Substituents like –NO2 or azo groups extend conjugation, allowing absorption of visible light and producing colored compounds."
Hydrocarbons,Alkane Formation,How is octane (C₈H₁₈) formed?,8C + 18H → C8H18,Eight carbon atoms form a chain and attach hydrogen atoms
States of Matter,Liquid State,Why does latent heat of vaporization increase with intermolecular force?,more energy required to separate molecules,Strong attractions require greater heat input.
Redox Reactions,Equivalent Concept,Calculate equivalent mass of FeSO4 in oxidation Fe2+ → Fe3+.,152/1,Equivalent mass of FeSO4 is 152.
Alcohols Phenols Ethers,Alcohol Reactions,Predict outcome of reaction of alcohol with Na followed by alkyl halide.,ROH + Na → RONa + H2 ; RONa + R'X → R–O–R' + NaX,Alcohol first forms alkoxide which then reacts with alkyl halide to form ether (Williamson synthesis).
Haloalkanes and Haloarenes,Haloalkane Reactions,Reaction with sodium sulfide.,2R–X + Na2S → R–S–R + 2NaX,Haloalkanes react with sodium sulfide to form thioethers.
Hydrocarbons,Alkane Reactions,Why is iodination of alkanes not favorable?,RH + I2 ⇌ RI + HI,"The reaction is reversible and HI formed converts alkyl iodide back into alkane, making the forward reaction unfavorable."
Haloalkanes and Haloarenes,Haloarene Reactions,What is Meisenheimer complex?,C₆H₅–NO₂–Cl → complex,Negative charge delocalized on ring
Equilibrium,Solubility,Explain common ion effect on solubility quantitatively.,Ksp = [A⁺][B⁻],"If a common ion is added, its concentration is already significant, so solubility S becomes much smaller to maintain constant Ksp."
Aldehydes and Ketones,Ketone Reactions,Explain mechanism of ketal formation in detail.,R–CO–R' + 2R''OH → R–C(OR'')2–R' + H2O,"Acid protonates carbonyl oxygen increasing electrophilicity. Alcohol attacks forming hemiketal, followed by substitution forming ketal. Reaction proceeds via carbocation-like intermediate."
Haloalkanes and Haloarenes,Haloalkane Concepts,Explain Hammond postulate in SN1.,transition state ≈ carbocation,"The transition state resembles carbocation intermediate, so more stable carbocations lower activation energy and increase reaction rate."
Physical Chemistry,Stoichiometry,Calculate moles of CO2 formed from 3 moles CH4.,CH4 + 2O2 → CO2 + 2H2O,3 moles methane produce 3 moles carbon dioxide.
Structure of Atom,Quantum Numbers,What determines orbital size?,principal quantum number,Higher n means larger orbital size.
Physical Chemistry,Stoichiometry,Calculate moles of NaCl formed from 2 moles Na.,2Na + Cl2 → 2NaCl,2 moles sodium form 2 moles sodium chloride.
Chemistry in Everyday Life,Drugs,Explain enzyme inhibition types.,enzyme + inhibitor → inactive complex,Inhibitors can be competitive or non-competitive affecting enzyme activity differently.
Structure of Atom,Spectral Series,Why are hydrogen spectra simplest?,single electron atom,Hydrogen has only one electron and simple transitions.
Physical Chemistry,Measurements,How many significant figures are present in 0.02030?,4 significant figures,The number contains four significant figures.
States of Matter,Real Gases,Explain Boyle temperature.,ideal-like behavior temperature,At this temperature attractive and repulsive effects balance.
Thermodynamics,Basic Concepts,What is first law of thermodynamics?,energy conservation,Energy can neither be created nor destroyed.
Chemistry in Everyday Life,Drugs,Identify type of drug: Aspirin.,pain → relief,Aspirin is a non-narcotic analgesic and antipyretic.
Thermodynamics,Heat,Why is heat important in chemistry?,energy changes in reactions,It explains reaction energetics and physical changes.
Biomolecules,Proteins,Explain detailed resonance in peptide bond.,–CO–NH– ⇌ –C(O−)=NH+,"Resonance delocalizes electrons between carbonyl and nitrogen, giving partial double bond character and restricting rotation."
Thermodynamics,Basic Concepts,Give examples of state functions.,"U,H,S,G","Internal energy, enthalpy, entropy, and Gibbs energy are state functions."
